"time","device_id","air_temperature","air_humidity","light","soil_temperature","soil_moisture","soil_ph","soil_ec","soil_nitrogen","soil_phosphorus","soil_potassium"
"2026-04-20 21:50:54.694088","collector_001",25.3,25.4,3192.0,23.1,17.7,7.2,175.0,7.0,12.0,28.0
"2026-04-20 21:51:14.699595","collector_001",25.3,25.5,3297.0,23.1,17.7,7.2,175.0,7.0,12.0,28.0
"2026-04-20 21:51:57.713562","collector_001",25.3,25.4,3235.0,23.1,17.7,7.2,175.0,7.0,12.0,28.0
"2026-04-20 21:54:49.211244","collector_001",25.8,25.3,2893.0,23.1,17.8,7.2,176.0,7.0,12.0,28.0
"2026-04-20 22:01:26.235737","collector_001",21.0,26.1,93.0,23.1,17.6,7.3,175.0,7.0,12.0,28.0
"2026-04-20 22:06:28.913244","collector_001",21.5,21.8,1.0,22.7,17.9,7.3,180.0,8.0,12.0,29.0
"2026-04-20 22:11:30.454232","collector_001",21.5,24.3,1.0,21.9,18.1,7.3,185.0,8.0,13.0,30.0
"2026-04-20 22:16:32.202229","collector_001",21.1,22.1,1.0,21.3,18.3,7.3,192.0,8.0,13.0,31.0
"2026-04-20 22:21:33.65975","collector_001",21.3,22.8,1.0,20.7,18.5,7.3,198.0,9.0,13.0,32.0
"2026-04-20 22:26:34.962747","collector_001",20.8,23.7,1.0,20.3,18.7,7.2,210.0,9.0,14.0,34.0
"2026-04-20 22:31:36.183245","collector_001",20.9,23.1,1.0,19.9,18.8,7.2,222.0,10.0,15.0,36.0
"2026-04-20 22:36:37.796267","collector_001",20.7,21.8,1.0,19.5,18.9,7.1,231.0,10.0,16.0,37.0
"2026-04-20 22:41:39.265258","collector_001",20.7,24.2,1.0,19.2,19.0,7.1,237.0,11.0,16.0,38.0
"2026-04-20 22:46:41.250226","collector_001",20.4,21.6,1.0,19.0,19.0,7.1,242.0,11.0,17.0,39.0
"2026-04-20 22:51:42.799261","collector_001",19.5,22.7,1.0,18.8,19.1,7.1,245.0,11.0,17.0,39.0
"2026-04-20 22:56:43.968257","collector_001",19.1,24.7,1.0,18.6,19.1,7.1,247.0,11.0,17.0,40.0
"2026-04-20 23:01:45.483234","collector_001",19.4,25.7,1.0,18.4,19.2,7.1,248.0,11.0,17.0,40.0
"2026-04-20 23:06:46.608229","collector_001",19.3,25.7,0.0,18.3,19.2,7.1,248.0,11.0,17.0,40.0
"2026-04-20 23:11:47.766253","collector_001",20.0,25.4,0.0,18.1,19.2,7.1,248.0,11.0,17.0,40.0
"2026-04-20 23:16:48.830233","collector_001",20.1,25.5,0.0,17.9,19.2,7.1,248.0,11.0,17.0,40.0
"2026-04-20 23:21:49.992233","collector_001",20.3,25.6,0.0,17.8,19.2,7.1,248.0,11.0,17.0,40.0
"2026-04-20 23:26:51.464227","collector_001",20.4,28.7,0.0,17.7,19.3,7.1,248.0,11.0,17.0,40.0
"2026-04-20 23:31:52.635255","collector_001",19.8,27.3,0.0,17.7,19.3,7.0,248.0,11.0,17.0,40.0
"2026-04-20 23:36:53.678234","collector_001",19.7,28.5,0.0,17.6,19.3,7.0,248.0,11.0,17.0,40.0
"2026-04-20 23:41:54.913225","collector_001",19.8,27.7,0.0,17.6,19.3,7.0,247.0,11.0,17.0,40.0
"2026-04-20 23:46:56.270229","collector_001",19.9,28.0,0.0,17.5,19.3,7.0,247.0,11.0,17.0,40.0
"2026-04-20 23:51:57.671226","collector_001",20.3,27.5,0.0,17.5,19.3,7.0,246.0,11.0,17.0,40.0
"2026-04-20 23:56:59.101238","collector_001",20.3,28.4,0.0,17.4,19.3,7.0,246.0,11.0,17.0,40.0
"2026-04-21 00:02:00.428329","collector_001",20.5,27.5,0.0,17.4,19.3,7.0,246.0,11.0,17.0,40.0
"2026-04-21 00:07:01.90724","collector_001",20.7,27.7,0.0,17.4,19.4,7.0,245.0,11.0,17.0,39.0
"2026-04-21 00:12:03.090251","collector_001",20.6,27.7,0.0,17.4,19.4,7.0,245.0,11.0,17.0,39.0
"2026-04-21 00:17:04.364233","collector_001",20.5,28.2,0.0,17.4,19.4,7.0,245.0,11.0,17.0,39.0
"2026-04-21 00:22:05.797411","collector_001",20.1,28.7,0.0,17.3,19.4,7.0,245.0,11.0,17.0,39.0
"2026-04-21 00:27:07.245226","collector_001",19.9,29.2,0.0,17.3,19.4,7.0,244.0,11.0,17.0,39.0
"2026-04-21 00:32:08.925263","collector_001",20.0,29.2,0.0,17.3,19.4,7.0,244.0,11.0,17.0,39.0
"2026-04-21 00:37:10.130233","collector_001",20.5,28.6,0.0,17.2,19.4,7.0,244.0,11.0,17.0,39.0
"2026-04-21 00:42:11.465258","collector_001",20.4,30.3,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 00:47:12.957232","collector_001",20.5,28.5,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 00:52:14.477226","collector_001",20.6,28.5,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 00:57:15.915256","collector_001",20.6,28.8,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:02:17.257918","collector_001",20.7,28.9,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:07:18.602929","collector_001",20.8,29.2,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:12:20.262929","collector_001",20.7,28.7,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:17:21.656925","collector_001",20.4,30.1,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:22:22.961946","collector_001",20.6,29.2,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:27:24.461931","collector_001",20.7,29.3,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:32:25.947936","collector_001",20.8,28.9,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:37:27.44392","collector_001",20.7,28.6,0.0,17.2,19.4,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:42:28.865924","collector_001",20.7,34.5,0.0,17.2,19.5,7.0,243.0,11.0,17.0,39.0
"2026-04-21 01:47:30.340935","collector_001",20.2,28.8,0.0,17.2,19.5,7.0,242.0,11.0,17.0,39.0
"2026-04-21 01:52:31.681924","collector_001",20.3,28.4,0.0,17.2,19.5,7.0,242.0,11.0,17.0,39.0
"2026-04-21 01:57:33.21492","collector_001",20.3,28.4,0.0,17.2,19.4,7.0,242.0,11.0,17.0,39.0
"2026-04-21 02:02:34.614927","collector_001",20.3,28.6,0.0,17.2,19.4,7.0,242.0,11.0,17.0,39.0
"2026-04-21 02:07:35.858926","collector_001",19.6,30.8,0.0,17.1,19.5,7.0,242.0,11.0,17.0,39.0
"2026-04-21 02:12:37.208951","collector_001",19.3,29.0,0.0,17.1,19.5,7.0,241.0,11.0,16.0,39.0
"2026-04-21 02:17:38.542918","collector_001",19.3,29.6,0.0,17.1,19.4,7.0,241.0,11.0,16.0,39.0
"2026-04-21 02:22:39.816916","collector_001",19.3,29.0,0.0,17.0,19.4,7.0,240.0,11.0,16.0,39.0
"2026-04-21 02:27:41.305442","collector_001",19.7,28.5,0.0,16.9,19.4,7.0,240.0,11.0,16.0,39.0
"2026-04-21 02:32:42.79145","collector_001",19.6,28.4,0.0,16.9,19.4,7.0,240.0,11.0,16.0,39.0
"2026-04-21 02:37:44.068924","collector_001",19.7,28.4,0.0,16.9,19.4,7.0,239.0,11.0,16.0,38.0
"2026-04-21 02:42:45.528931","collector_001",19.7,28.4,0.0,16.8,19.4,7.0,239.0,11.0,16.0,38.0
"2026-04-21 02:47:46.943924","collector_001",20.0,28.0,0.0,16.8,19.5,7.0,239.0,11.0,16.0,38.0
"2026-04-21 02:52:48.318924","collector_001",20.1,28.2,0.0,16.8,19.5,7.0,239.0,11.0,16.0,38.0
"2026-04-21 02:57:49.756446","collector_001",20.2,28.1,0.0,16.8,19.4,7.0,239.0,11.0,16.0,38.0
"2026-04-21 03:02:50.957925","collector_001",20.2,28.2,0.0,16.8,19.5,7.0,238.0,11.0,16.0,38.0
"2026-04-21 03:07:52.321929","collector_001",20.3,28.4,0.0,16.8,19.4,7.0,239.0,11.0,16.0,38.0
"2026-04-21 03:12:53.767943","collector_001",20.3,28.5,0.0,16.8,19.5,7.0,239.0,11.0,16.0,38.0
"2026-04-21 03:17:55.530936","collector_001",20.3,28.3,0.0,16.7,19.5,7.0,239.0,11.0,16.0,38.0
"2026-04-21 03:22:56.592925","collector_001",20.4,29.1,0.0,16.8,19.5,7.0,239.0,11.0,16.0,38.0
"2026-04-21 03:27:57.917496","collector_001",20.4,29.2,0.0,16.8,19.5,7.0,240.0,11.0,16.0,39.0
"2026-04-21 03:32:59.362918","collector_001",20.5,29.3,0.0,16.8,19.5,7.0,239.0,11.0,16.0,38.0
"2026-04-21 03:38:00.766434","collector_001",20.5,29.3,0.0,16.8,19.5,7.0,239.0,11.0,16.0,38.0
"2026-04-21 03:43:02.172956","collector_001",20.5,29.4,0.0,16.8,19.5,7.0,240.0,11.0,16.0,39.0
"2026-04-21 03:48:03.45295","collector_001",20.6,29.3,0.0,16.8,19.5,7.0,240.0,11.0,16.0,39.0
"2026-04-21 03:53:04.785927","collector_001",20.6,29.4,0.0,16.8,19.5,7.0,240.0,11.0,16.0,39.0
"2026-04-21 03:58:06.08592","collector_001",20.5,29.7,0.0,16.8,19.5,7.0,240.0,11.0,16.0,39.0
"2026-04-21 04:03:07.212085","collector_001",20.6,30.0,0.0,16.8,19.5,7.0,240.0,11.0,16.0,39.0
"2026-04-21 04:08:08.373071","collector_001",20.7,30.1,0.0,16.8,19.5,7.0,240.0,11.0,16.0,39.0
"2026-04-21 04:13:09.549071","collector_001",20.6,29.8,0.0,16.8,19.6,7.0,240.0,11.0,16.0,39.0
"2026-04-21 04:18:10.712076","collector_001",20.6,30.1,0.0,16.9,19.6,7.0,241.0,11.0,16.0,39.0
"2026-04-21 04:23:11.934574","collector_001",20.6,30.1,0.0,16.9,19.6,7.0,241.0,11.0,16.0,39.0
"2026-04-21 04:28:13.164078","collector_001",20.6,30.5,0.0,16.9,19.6,7.0,241.0,11.0,16.0,39.0
"2026-04-21 04:33:14.386078","collector_001",20.6,30.7,0.0,16.9,19.6,7.0,241.0,11.0,16.0,39.0
"2026-04-21 04:38:15.628127","collector_001",20.6,30.5,0.0,16.9,19.5,7.0,240.0,11.0,16.0,39.0
"2026-04-21 04:43:16.785069","collector_001",20.5,30.6,0.0,16.9,19.6,7.0,240.0,11.0,16.0,39.0
